alpha,alpha_pos,alpha_neg,beta,exp,exp_pos,exp_neg
1,,,1,1,,
1,,,1,,1,1
1,,,1,,1,fix
1,,,1,,fix,1
,1,fix,1,1,,
,1,fix,1,,1,1
,1,fix,1,,fix,1
,1,fix,1,,1,fix
,fix,1,1,1,,
,fix,1,1,,1,1
,fix,1,1,,fix,1
,fix,1,1,,1,fix
,1,1,1,1,,
,1,1,1,,1,1
,1,1,1,,fix,1
,1,1,1,,1,fix
1,,,fix,1,,
1,,,fix,,1,1
1,,,fix,,1,fix
1,,,fix,,fix,1
,1,fix,fix,1,,
,1,fix,fix,,1,1
,1,fix,fix,,fix,1
,1,fix,fix,,1,fix
,fix,1,fix,1,,
,fix,1,fix,,1,1
,fix,1,fix,,fix,1
,fix,1,fix,,1,fix
,1,1,fix,1,,
,1,1,fix,,1,1
,1,1,fix,,fix,1
,1,1,fix,,1,fix
fix,,,1,1,,
fix,,,1,,1,1
fix,,,1,,1,fix
fix,,,1,,fix,1
,1,fix,1,1,,
,fix,1,1,fix,,
,1,1,1,fix,,
1,,,fix,fix,,
,1,fix,fix,fix,,
,fix,1,fix,fix,,
,1,1,fix,fix,,
