"","strikers","num_strikes","vars"
"1",200164,50,"aor, dummy_trs, dummy_trs, dummy_trs, efc, efc, efc, efc, efc, efc, fber, fber, gsr_y, summary_bg_mad, summary_bg_mad, summary_bg_mad, summary_bg_mad, summary_bg_mad, summary_bg_mad, summary_bg_mean, summary_bg_mean, summary_bg_mean, summary_bg_mean, summary_bg_mean, summary_bg_mean, summary_bg_median, summary_bg_median, summary_bg_median, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_p95, summary_bg_p95, summary_bg_p95, summary_bg_p95, summary_bg_p95, summary_bg_p95, summary_bg_stdv, summary_fg_n, summary_fg_n, summary_fg_n, summary_fg_n, summary_fg_n"
"2",200162,48,"dummy_trs, dummy_trs, dummy_trs, dummy_trs, dummy_trs, efc, summary_bg_mad, summary_bg_mad, summary_bg_mad, summary_bg_mad, summary_bg_mad, summary_bg_mad, summary_bg_mean, summary_bg_mean, summary_bg_mean, summary_bg_mean, summary_bg_mean, summary_bg_mean, summary_bg_median, summary_bg_median, summary_bg_median, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_p95, summary_bg_p95, summary_bg_p95, summary_bg_p95, summary_bg_p95, summary_bg_stdv, summary_bg_stdv, summary_bg_stdv, summary_bg_stdv, summary_fg_n, summary_fg_n, summary_fg_n, summary_fg_n, summary_fg_n, summary_fg_n"
"3",200061,46,"dvars_nstd, dvars_nstd, dvars_nstd, dvars_nstd, dvars_nstd, dvars_nstd, dvars_std, dvars_std, dvars_std, dvars_std, dvars_std, dvars_std, fwhm_avg, fwhm_avg, fwhm_avg, fwhm_avg, fwhm_avg, fwhm_x, fwhm_x, fwhm_z, fwhm_z, fwhm_z, fwhm_z, fwhm_z, summary_bg_n, summary_bg_n, summary_fg_mad, summary_fg_mad, summary_fg_mad, summary_fg_mad, summary_fg_mad, summary_fg_mad, summary_fg_n, summary_fg_n, summary_fg_p95, summary_fg_p95, summary_fg_p95, summary_fg_p95, summary_fg_p95, summary_fg_p95, summary_fg_stdv, summary_fg_stdv, summary_fg_stdv, summary_fg_stdv, summary_fg_stdv, summary_fg_stdv"
"4",100051,35,"aor, aor, aor, aqi, aqi, aqi, dvars_nstd, dvars_nstd, dvars_nstd, dvars_nstd, fd_mean, fd_num, fd_perc, fwhm_avg, fwhm_avg, fwhm_x, fwhm_x, fwhm_y, fwhm_y, gcor, gsr_x, gsr_x, gsr_y, gsr_y, gsr_y, snr, snr, snr, snr, summary_bg_k, summary_fg_p05, summary_fg_p05, tsnr, tsnr, tsnr"
"5",100103,32,"aor, aor, aor, aqi, dvars_nstd, dvars_std, efc, fber, fd_mean, fd_mean, fd_mean, fd_num, fd_perc, fd_perc, fwhm_x, fwhm_y, gcor, gsr_x, gsr_y, size_t, size_t, size_t, size_t, snr, snr, snr, snr, summary_bg_mad, summary_bg_median, summary_fg_p05, tsnr, tsnr"
"6",400285,31,"dummy_trs, dummy_trs, dvars_std, dvars_std, dvars_std, dvars_std, dvars_std, summary_fg_mad, summary_fg_mad, summary_fg_mad, summary_fg_mad, summary_fg_mad, summary_fg_mad, summary_fg_mean, summary_fg_mean, summary_fg_mean, summary_fg_mean, summary_fg_mean, summary_fg_mean, summary_fg_p95, summary_fg_p95, summary_fg_p95, summary_fg_p95, summary_fg_p95, summary_fg_p95, summary_fg_stdv, summary_fg_stdv, summary_fg_stdv, summary_fg_stdv, summary_fg_stdv, summary_fg_stdv"
"7",100063,28,"aqi, aqi, aqi, aqi, aqi, dvars_nstd, fd_mean, fd_mean, fd_mean, fd_num, fd_num, fd_num, fd_num, fd_num, fd_perc, fd_perc, fd_perc, fd_perc, gcor, summary_bg_n, summary_bg_n, summary_fg_n, summary_fg_n, summary_fg_n, summary_fg_n, tsnr, tsnr, tsnr"
"8",100104,27,"aor, aor, aor, aor, aor, aqi, dvars_nstd, dvars_nstd, dvars_std, fber, fd_mean, fd_mean, gcor, gcor, gcor, gcor, gsr_x, gsr_y, summary_bg_k, summary_bg_k, summary_bg_k, summary_bg_k, summary_fg_p05, tsnr, tsnr, tsnr, tsnr"
"9",308023,24,"dvars_vstd, efc, fber, gsr_y, summary_bg_mad, summary_bg_mean, summary_bg_mean, summary_bg_mean, summary_bg_mean, summary_bg_mean, summary_bg_mean, summary_bg_median, summary_bg_p95, summary_bg_p95, summary_bg_p95, summary_bg_p95, summary_bg_p95, summary_bg_p95, summary_bg_stdv, summary_bg_stdv, summary_bg_stdv, summary_bg_stdv, summary_bg_stdv, summary_bg_stdv"
"10",304228,22,"gcor, summary_bg_mean, summary_bg_mean, summary_bg_mean, summary_bg_mean, summary_bg_mean, summary_bg_mean, summary_bg_mean, summary_bg_p95, summary_bg_p95, summary_bg_p95, summary_bg_p95, summary_bg_p95, summary_bg_p95, summary_bg_p95, summary_bg_stdv, summary_bg_stdv, summary_bg_stdv, summary_bg_stdv, summary_bg_stdv, summary_bg_stdv, summary_bg_stdv"
"11",100128,19,"aor, dvars_nstd, dvars_std, efc, fber, fwhm_avg, fwhm_x, fwhm_y, gsr_x, gsr_y, snr, snr, summary_bg_mad, summary_bg_mean, summary_bg_median, summary_bg_p95, summary_bg_stdv, summary_fg_p05, tsnr"
"12",100143,18,"summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_fg_n, summary_fg_n, summary_fg_n, summary_fg_n, summary_fg_n, summary_fg_n"
"13",200081,18,"summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_bg_n, summary_fg_n, summary_fg_n, summary_fg_n, summary_fg_n, summary_fg_n, summary_fg_n"
"14",100003,16,"dvars_std, fber, fd_mean, fd_mean, gcor, snr, snr, snr, snr, snr, snr, snr, snr, summary_bg_mad, tsnr, tsnr"
"15",100059,16,"aor, aor, aqi, fd_mean, fwhm_avg, fwhm_x, fwhm_y, gcor, gsr_x, gsr_y, summary_bg_k, summary_bg_k, summary_bg_k, summary_bg_k, summary_bg_k, summary_fg_p05"
"16",100243,16,"aor, aqi, dummy_trs, dvars_nstd, dvars_std, fber, fd_mean, fd_num, fd_perc, fwhm_x, fwhm_y, gcor, gsr_x, gsr_y, tsnr, tsnr"
"17",100244,16,"aor, aor, aor, dvars_nstd, dvars_std, fber, fd_mean, fwhm_x, fwhm_y, gcor, gsr_x, gsr_y, summary_bg_mad, summary_bg_median, tsnr, tsnr"
"18",411256,14,"dummy_trs, summary_bg_p95, summary_bg_stdv, summary_bg_stdv, summary_bg_stdv, summary_bg_stdv, summary_bg_stdv, summary_bg_stdv, summary_fg_mad, summary_fg_mad, summary_fg_mad, summary_fg_mad, summary_fg_mad, summary_fg_mad"
"19",100110,11,"aqi, fd_mean, size_t, size_t, size_t, size_t, summary_bg_k, summary_bg_k, summary_fg_k, summary_fg_k, summary_fg_k"
"20",200168,11,"aqi, aqi, dvars_nstd, dvars_nstd, dvars_std, fd_mean, fd_mean, gcor, summary_bg_mad, tsnr, tsnr"
"21",100105,10,"dvars_std, fd_mean, fd_mean, fd_mean, fd_mean, fd_mean, fd_num, fd_perc, gcor, summary_bg_k"
"22",100188,10,"size_t, size_t, size_t, size_t, summary_bg_k, summary_bg_k, summary_bg_k, summary_bg_k, summary_bg_k, summary_bg_k"
"23",100062,9,"aor, aqi, aqi, dvars_nstd, dvars_vstd, gcor, gcor, gcor, tsnr"
"24",100241,9,"aor, fd_mean, fd_mean, gcor, size_t, size_t, size_t, size_t, tsnr"
"25",100247,9,"dummy_trs, fber, fwhm_x, gsr_x, gsr_y, snr, snr, summary_bg_mad, summary_bg_median"
"26",405027,9,"fwhm_avg, fwhm_y, fwhm_y, fwhm_y, fwhm_z, fwhm_z, fwhm_z, fwhm_z, fwhm_z"
"27",100042,7,"aor, aqi, dvars_std, gsr_x, tsnr, tsnr, tsnr"
"28",406925,7,"dummy_trs, dvars_std, dvars_std, dvars_std, dvars_std, dvars_std, dvars_vstd"
"29",411477,7,"dvars_nstd, dvars_vstd, fd_mean, fd_num, fd_num, fd_perc, fd_perc"
"30",100057,6,"summary_bg_k, summary_bg_k, summary_bg_k, summary_bg_k, summary_bg_k, summary_bg_k"
"31",100215,6,"gsr_x, gsr_y, size_t, size_t, size_t, size_t"
"32",200088,6,"aqi, aqi, gsr_x, gsr_x, gsr_x, gsr_x"
"33",402997,6,"spacing_x, spacing_x, spacing_x, spacing_x, spacing_x, spacing_x"
"34",100009,5,"dvars_vstd, spacing_y, spacing_y, spacing_y, spacing_y"
"35",100129,5,"dummy_trs, dummy_trs, dvars_nstd, dvars_nstd, dvars_nstd"
"36",306065,5,"dummy_trs, size_t, size_t, size_t, size_t"
"37",406989,4,"size_t, size_t, size_t, size_t"
"38",409874,3,"dummy_trs, summary_fg_k, summary_fg_p05"
"39",100068,2,"summary_bg_k, summary_bg_k"
"40",100169,2,"summary_bg_k, summary_bg_k"
"41",100180,2,"aor, gcor"
"42",100185,2,"dvars_vstd, gcor"
"43",100214,1,"dummy_trs"
"44",100250,1,"dummy_trs"
"45",200085,1,"summary_fg_k"
"46",200148,1,"aor"
"47",200173,1,"dummy_trs"
"48",311283,1,"dummy_trs"
"49",406980,1,"dummy_trs"
